id,created_at,text
1006331557001302016,2018-06-12 00:25:14,https://t.co/fopemnwiMI
1006260388856356864,2018-06-11 19:42:26,7 deadly sins https://t.co/YczOcBEMdY
1006240112651337728,2018-06-11 18:21:52,We’re trying new ideas without the fear of not being perfect…  It’s just a gut feeling sometimes… just making stuff with your friends…
1006240061686366208,2018-06-11 18:21:40,We’re here creating in real time just having fun.     I hear the albums blasting out of the cars when I walk down t… https://t.co/Btr6jZBeYP
1006239896254607360,2018-06-11 18:21:00,Just wanted to say I’m up in the morning working on the Nas album  and I’m so humbled by all the love we’re getting… https://t.co/0KpWPPvzt0
1006216530135113729,2018-06-11 16:48:10,😂 https://t.co/zD0cQryW3j
1006210012287401986,2018-06-11 16:22:16,😂 https://t.co/0cbuZDQSuO
1004890866954063872,2018-06-08 01:00:27,Download the @WAV_Media app https://t.co/HxSvFHiSrY to watch the livestream of the KIDS SEE GHOSTS listening party tonight @ 8pm PST
1004832338650357762,2018-06-07 21:07:53,RT @tylerthecreator: see if i was tryna relate to more people i would say im struggling with loving myself because that seems like a common…
1004561635153883136,2018-06-07 03:12:12,https://t.co/ssV4UeFpiL
1004522996185219072,2018-06-07 00:38:40,"RT @CNN: BREAKING: Alice Marie Johnson has just been released from prison after Trump commuted her sentence. ""I'm just so thankful. I feel…"
1004430259519803393,2018-06-06 18:30:09,RT @mic: BREAKING: President Trump has granted clemency to #AliceMarieJohnson after meeting with @KimKardashian West to talk about her case…
1004430194923323392,2018-06-06 18:29:54,RT @KimKardashian: BEST NEWS EVER!!!! 🙏🏼🙏🏼🙏🏼                    https://t.co/JUbpbE1Bk0
1004430170189467648,2018-06-06 18:29:48,"RT @KimKardashian: So grateful to @realDonaldTrump, Jared Kushner &amp; to everyone who has showed compassion &amp; contributed countless hours to…"
1004430115902652416,2018-06-06 18:29:35,RT @KimKardashian: I hope to continue this important work by working together with organizations who have been fighting this fight for much…
1004430080611794944,2018-06-06 18:29:27,RT @KimKardashian: The phone call I just had with Alice will forever be one of my best memories. Telling her for the first time and hearing…
1004342273071505408,2018-06-06 12:40:32,https://t.co/r2idQETRCQ
1004222866458533889,2018-06-06 04:46:03,RT @KidCudi: KIDS SEE GHOSTS ALBUM ART https://t.co/MVt5vIzlA1
1004221826438844416,2018-06-06 04:41:55,https://t.co/bYVgnuMASB
1004207627469914112,2018-06-06 03:45:30,🙏🙏🙏    all love to her family https://t.co/p3cu3CUdw5
1004193086321221633,2018-06-06 02:47:43,#1 in 83 countries 🙌🙌🙌  https://t.co/Z8FC9LPL7W
1004156527563890689,2018-06-06 00:22:27,https://t.co/FQUdTnViNC
1003701315032059905,2018-06-04 18:13:36,I feel so blessed.  For everyone that didn't turn they back. I'm in tears right now. I love all of you https://t.co/8jwIALBsDu
1003144845597159424,2018-06-03 05:22:23,😍😍😍 https://t.co/PfxbSlZTNw
1003055635317993472,2018-06-02 23:27:53,"For all my dogs that stayed down, we up again 🙌🙌🙌 https://t.co/HSSyZeTI30"
1003046107125968896,2018-06-02 22:50:02,https://t.co/mramWmhY1S
1002784133888688128,2018-06-02 05:29:03,I’ve never been about beef    I’m about love    lines were crossed and it’s not good for anyone    so this is dead now
1002752118032293888,2018-06-02 03:21:49,https://t.co/gtu95VUe64
1002738977026109445,2018-06-02 02:29:36,https://t.co/ngNMZjM7tN
1002642030239969281,2018-06-01 20:04:22,"https://t.co/SScskeUWQs

https://t.co/qMCfkQTjLy

https://t.co/pa0iHEIdZT"
1002638729259843585,2018-06-01 19:51:15,https://t.co/xYu7lH1rZ7
1002352319239839744,2018-06-01 00:53:10,"Download the @WAV_Media app https://t.co/HxSvFHiSrY  to watch the livestream of my album listening tonight in Jackson Hole, Wyoming 7PM MDT"
999901094355464192,2018-05-25 06:32:52,https://t.co/3YFh8MIHIH
999878225323999232,2018-05-25 05:02:00,New  Flacko 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 https://t.co/F3lAEVGX4A
999877650087690240,2018-05-25 04:59:43,https://t.co/QAZmYHt4eA
999813894796267521,2018-05-25 00:46:22,🔥🔥🔥 This is one of my favorite moments. https://t.co/LLhZlU7fAG
999810956912836608,2018-05-25 00:34:42,gratitude and happiness best describe what my wife means to me. I’m deeply grateful and purely happy 😊
999777955894050816,2018-05-24 22:23:34,Daytona is the first project out of Wyoming.  I’m really proud of what we put together.   We’ve spent a year and a… https://t.co/rnQ2uXTSeE
999771408258318338,2018-05-24 21:57:33,album 1   PUSHA T   DAYTONA   dropping 2mrw https://t.co/M1UPvax5fa
998642370747887622,2018-05-21 19:11:09,before Edward Bernays Americans purchased things based off needs       There was a a time in the 20s when women did… https://t.co/FQMq29vChC
998642119123206144,2018-05-21 19:10:09,the century of self   https://t.co/JVvJby2TFq        It’s 4 hours long but you’ll get the gist in the first 20 minu… https://t.co/6h5mjB1qih
998641627328536578,2018-05-21 19:08:12,Google dopamine
998641541395636226,2018-05-21 19:07:51,there was a time when we completely operated without phones.  We're addicted to our phones.
998641417072271360,2018-05-21 19:07:22,Look at your phone as tool not an obligation.    Would you walk around with a hammer in your pocket?    You would p… https://t.co/U7lY1tRZXH
998617145155072000,2018-05-21 17:30:55,Amma Mata had given over 32 million hugs https://t.co/OBotiHWZUU
998615853896581120,2018-05-21 17:25:47,sometimes we all need hugs
998014241364852738,2018-05-20 01:35:12,Very cozy. Sleeping in the studio https://t.co/hZk0UEW81G
997203474008846337,2018-05-17 19:53:30,"🤣🤣🤣
https://t.co/I8lcHB8gxf"
996463788231610368,2018-05-15 18:54:15,https://t.co/o5GyOkB2hg
996420605485314048,2018-05-15 16:02:39,for anyone whose tried to text or call me in the past 2 weeks   I got rid of that phone so I could focus on these albums
996055522250899462,2018-05-14 15:51:56,The United Nations introduced the Sustainable Development goals and platform in 2015 to transform the world by 2030 https://t.co/ufbZlURwPA
995406393891958784,2018-05-12 20:52:32,rules are structure for people who can’t carve their own path successfully
994812916938498048,2018-05-11 05:34:16,100%  I love the way you think. I’ll reach out https://t.co/MVqBKd0vaM
994693945794822144,2018-05-10 21:41:31,approved  700 V2 color way  Q4 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 https://t.co/IWAzItCnEK
994679218356146176,2018-05-10 20:43:00,https://t.co/eUnzwhr72z      This is the greatest news      This is my favorite show     I’ve seen every episode at least 5 times each
993899071650676737,2018-05-08 17:02:59,free thinking is a super power
993714095638495232,2018-05-08 04:47:57,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 https://t.co/yEYJP7qrvf
993629062454067201,2018-05-07 23:10:03,https://t.co/5Fe6LJqAQo
993628914315546624,2018-05-07 23:09:28,https://t.co/y2DHIlfl9Q
993627515921952768,2018-05-07 23:03:55,original 350 sample https://t.co/MVn5J579t8
993584928930451456,2018-05-07 20:14:41,It’s about the feeling first https://t.co/4x2wkCMidR
993562911560761344,2018-05-07 18:47:12,I’m hyper focused on the now
993515435369771008,2018-05-07 15:38:33,https://t.co/pRxvzbTu7c
993232125796089856,2018-05-06 20:52:46,Childish Gambino - This is America     https://t.co/sknjKSgj8c
993231555328815105,2018-05-06 20:50:30,😂😂😂🔥🔥🔥 https://t.co/KmvxIwKkU6
993221454740185088,2018-05-06 20:10:22,we’re starting a Yeezy architecture arm called Yeezy home. We’re looking for architects and industrial designers wh… https://t.co/0DGrDZ9DEz
993212368225124353,2018-05-06 19:34:16,naps are awesome
992962234102857728,2018-05-06 03:00:19,All music coming out of Yeezy sound has to ride like the new Tesla   Yeezy sound is Tesla radio
992935764886409216,2018-05-06 01:15:08,hologram https://t.co/yx0N61hrcr
992824088837017600,2018-05-05 17:51:23,I love the 700 V2s https://t.co/tVCUz4GZpL
992802186651316224,2018-05-05 16:24:21,take a walk outside.  Fresh air is healing
992515804989018112,2018-05-04 21:26:22,"In a moment of inspiration, energy and excitement I had posted this sketch and would like to acknowledge the true c… https://t.co/e6rRdA9Ae4"
992515744381321216,2018-05-04 21:26:08,Today I learned that a newly hired designer on the Yeezy team presented work that was not of their own. This person… https://t.co/56QUEjfpA7
992476928346017792,2018-05-04 18:51:53,enjoy the present
992476137870606336,2018-05-04 18:48:45,if you’re in the way of your own life you’ll end up in the way of other people’s lives too
992404023197224960,2018-05-04 14:02:11,I can’t wait for electric planes.  Elon please hurry up with the ⚡️ jets😭
992398514603704320,2018-05-04 13:40:18,I can still feel the love
991861260466638848,2018-05-03 02:05:27,@yeezy https://t.co/hVoaVm3EUY
991856491626840064,2018-05-03 01:46:30,https://t.co/IxydIAseI0
991855983394570241,2018-05-03 01:44:28,https://t.co/5smCEzqTmA
991855869255073792,2018-05-03 01:44:01,https://t.co/d3FttWufBL
991855252537147393,2018-05-03 01:41:34,https://t.co/jZ62l9x8GV
991854605582528512,2018-05-03 01:39:00,https://t.co/jCkREE9NzP
991853758010175488,2018-05-03 01:35:38,https://t.co/MO7BYwIB0b
991853431773057024,2018-05-03 01:34:20,https://t.co/IeNUbKXIZH
991828339961643008,2018-05-02 23:54:38,https://t.co/cGFzbVSNS6
991748818856173569,2018-05-02 18:38:38,this is so helpful. I'm always a student. I'm learning about love https://t.co/IknblRx4Pk
991561089291702274,2018-05-02 06:12:40,most fear is learned
991513942240280576,2018-05-02 03:05:19,energy meeting. Beings from all different backgrounds https://t.co/iJteS5MMbY
991467468655755264,2018-05-02 00:00:39,"when the media masses and scholars talk about what started today. Here's a title ... 

the overground hell road"
991466711583895553,2018-05-01 23:57:39,in school we need to learn how magic Johnson built his business not always about the past. Matter fact I've never e… https://t.co/pbEjTJeCgR
991466191536377858,2018-05-01 23:55:35,we are programmed to always talk and fight race issues. We need to update our conversation.
991466129821392896,2018-05-01 23:55:20,the universe has a plan. I knew that TMZ would be awesome.
991459083797413888,2018-05-01 23:27:20,we need to have open discussions and ideas on unsettled pain
991455152363089920,2018-05-01 23:11:43,https://t.co/sq66Kaz3yc
991427311688859649,2018-05-01 21:21:05,https://t.co/alJp679tHp
991421548656451584,2018-05-01 20:58:11,Thank you Shade room for the love  https://t.co/kiclvIpFSS
991361016679153664,2018-05-01 16:57:39,we got love. Doing TMZ live with Harvey and Candace Owens https://t.co/yoZdHwpdis
991348957585358848,2018-05-01 16:09:44,https://t.co/Br5kIafXtG   Charlamagne interview also on YouTube
991348818053492736,2018-05-01 16:09:11,https://t.co/V7ZeBuufOB     Charlamagne interview
991192797435711488,2018-05-01 05:49:13,Making of ye vs the people        https://t.co/1xvft3175J
991117050289405952,2018-05-01 00:48:13,stop thinking about things for a long time without saying what you think
991092016195911680,2018-04-30 23:08:44,Eli with the drip https://t.co/FlNgliReGv
991060961170620416,2018-04-30 21:05:20,Open letter from Jan Adams    This is amazing. Thank you so much for this connection brother. I can't wait to sit w… https://t.co/ZRRDi0r8GY
991059206655492096,2018-04-30 20:58:22,we're starting WORLD LOVE 1 right now the opposite of a WORLD WAR
991059037989978112,2018-04-30 20:57:42,Through speech it may be saying simply the word love at the end of a phone call or just saying much love.
991059006025220096,2018-04-30 20:57:34,"I feel it was heavy handed for me to tell people to tell people ""I love you""  I would ask that we show love how eve… https://t.co/3HX9nQOMzu"
991056660650065920,2018-04-30 20:48:15,We are all great artists. I said something ego driven in the Charlamagne interview that I'd like to update. I said… https://t.co/vOcA8SE8du
991051930011975680,2018-04-30 20:29:27,https://t.co/sIVjyPJslJ
991051845039673344,2018-04-30 20:29:07,Adi Shankar   We got love https://t.co/dyJyLRF79e
991042703587663874,2018-04-30 19:52:47,https://t.co/KTgTcvfsAC
991037236736024576,2018-04-30 19:31:04,love is infinite
991037050534051840,2018-04-30 19:30:20,infinite possibilities https://t.co/SogcrHMmx3
991036991918694400,2018-04-30 19:30:06,https://t.co/kuyAZxv85h
991036945785544711,2018-04-30 19:29:55,https://t.co/DMqCuG5DP8
991027869957603328,2018-04-30 18:53:51,Axel Vervoordt the globe
991026871415402496,2018-04-30 18:49:53,Candace Owens wrote this at the Office yesterday https://t.co/3utFm74k75
991025872680333312,2018-04-30 18:45:55,https://t.co/HrkNlEAxMc
991018904515301377,2018-04-30 18:18:13,we’re opening up the conversation to the psychologists sociologists and philosophers of the world and we're moving… https://t.co/AifFGXQd7f
991013645986418688,2018-04-30 17:57:20,"Yeezy is also food shelter communication education and now a VC 

we've invested in 3 companies since last week"
991013625354579968,2018-04-30 17:57:15,There has never been a Disney or Apple of apparel and now there is. We are hiring the greatest technical and indust… https://t.co/ybClLIhfeH
991013454143082496,2018-04-30 17:56:34,"🔥🔥🔥
this is where a YEEZY study for base layer starts. I'm so excited about our new design team. Yeezy is no longer… https://t.co/dKOcgLFGOE"
991004814975750144,2018-04-30 17:22:14,🔥🔥🔥😊😊😊 just great energy bro 🐉 https://t.co/QYLzHkCLHg
991001280989442048,2018-04-30 17:08:11,Try to avoid repetition     do meetings in different places and at different times than the normal     break the normal
991000311631298560,2018-04-30 17:04:20,https://t.co/NmkDiG5IbM
991000270116044800,2018-04-30 17:04:10,https://t.co/CeVEZmJBHb
990987525115150336,2018-04-30 16:13:32,we got love https://t.co/uTJpW9ddkX
990979240421085184,2018-04-30 15:40:37,we got love https://t.co/MQETaIchBf
990819984749162496,2018-04-30 05:07:47,https://t.co/JAw0pMKGqb
990786763021955073,2018-04-30 02:55:46,https://t.co/R1BecN4mMf
